Code,Name,Yahoo_Code
8951,日本ビルファンド投資法人,8951.T
8952,ジャパンリアルエステイト投資法人,8952.T
8953,日本都市ファンド投資法人,8953.T
8954,オリックス不動産投資法人,8954.T
8955,日本プライムリアルティ投資法人,8955.T
8956,NTT都市開発リート投資法人,8956.T
8957,東急リアル・エステート投資法人,8957.T
8958,グローバル・ワン不動産投資法人,8958.T
8959,（廃）野村不動産オフィスファンド投資法人,8959.T
8960,ユナイテッド・アーバン投資法人,8960.T
8961,森トラストリート投資法人,8961.T
8962,（廃）日本レジデンシャル投資法人,8962.T
8963,インヴィンシブル投資法人,8963.T
8964,フロンティア不動産投資法人,8964.T
8965,（廃）ニューシティ・レジデンス投資法人,8965.T
8966,平和不動産リート投資法人,8966.T
8967,日本ロジスティクスファンド投資法人,8967.T
8968,福岡リート投資法人,8968.T
8969,（廃）プロスペクト・レジデンシャル投資法人,8969.T
8970,（廃）ジャパン・シングルレジデンス投資法人,8970.T
8972,KDX不動産投資法人,8972.T
8973,（廃）積水ハウス・レジデンシャル投資法人,8973.T
8974,（廃）ラサール ジャパン投資法人,8974.T
8975,いちごオフィスリート投資法人,8975.T
8976,大和証券オフィス投資法人,8976.T
8977,阪急阪神リート投資法人,8977.T
8978,（廃）（旧）アドバンス・レジデンス投資法人,8978.T
8979,スターツプロシード投資法人,8979.T
8980,（廃）エルシーピー投資法人,8980.T
8981,（廃）ジャパン・ホテル・アンド・リゾート投資法人,8981.T
8982,（廃）トップリート投資法人,8982.T
8983,（廃）（旧）いちご不動産投資法人,8983.T
8984,大和ハウスリート投資法人,8984.T
8985,ジャパン・ホテル・リート投資法人,8985.T
8986,大和証券リビング投資法人,8986.T
8987,ジャパンエクセレント投資法人,8987.T
3226,三井不動産アコモデーションファンド投資法人,3226.T
3227,（廃）MCUBS MidCity投資法人,3227.T
3229,（廃）日本コマーシャル投資法人,3229.T
3234,森ヒルズリート投資法人,3234.T
3240,（廃）野村不動産レジデンシャル投資法人,3240.T
3249,産業ファンド投資法人,3249.T
3269,アドバンス・レジデンス投資法人,3269.T
3278,（廃）ケネディクス・レジデンシャル・ネクスト投資法人,3278.T
3279,アクティビア・プロパティーズ投資法人,3279.T
3263,（廃）（旧）大和ハウスリート投資法人,3263.T
3281,GLP投資法人,3281.T
3282,コンフォリア・レジデンシャル投資法人,3282.T
3283,日本プロロジスリート投資法人,3283.T
3285,（廃）（旧）野村不動産マスターファンド投資法人,3285.T
3287,星野リゾート・リート投資法人,3287.T
3290,Oneリート投資法人,3290.T
3292,イオンリート投資法人,3292.T
3295,ヒューリックリート投資法人,3295.T
3296,日本リート投資法人,3296.T
3298,（廃）インベスコ・オフィス・ジェイリート投資法人,3298.T
3308,（廃）日本ヘルスケア投資法人,3308.T
3451,トーセイ・リート投資法人,3451.T
3309,積水ハウス・リート投資法人,3309.T
3453,（廃）ケネディクス商業リート投資法人,3453.T
3455,ヘルスケア&メディカル投資法人,3455.T
3459,サムティ・レジデンシャル投資法人,3459.T
3460,（廃）ジャパン・シニアリビング投資法人,3460.T
3462,野村不動産マスターファンド投資法人,3462.T
3463,いちごホテルリート投資法人,3463.T
3466,ラサールロジポート投資法人,3466.T
3468,スターアジア不動産投資法人,3468.T
3470,マリモ地方創生リート投資法人,3470.T
3471,三井不動産ロジスティクスパーク投資法人,3471.T
3472,日本ホテル&レジデンシャル投資法人,3472.T
3473,（廃）さくら総合リート投資法人,3473.T
3476,投資法人みらい,3476.T
3478,（廃）森トラスト・ホテルリート投資法人,3478.T
3481,三菱地所物流リート投資法人,3481.T
3487,CREロジスティクスファンド投資法人,3487.T
3488,セントラル・リート投資法人,3488.T
3492,MIRARTH不動産投資法人,3492.T
3493,（廃）アドバンス・ロジスティクス投資法人,3493.T
2971,エスコンジャパンリート投資法人,2971.T
2972,サンケイリアルエステート投資法人,2972.T
2979,SOSiLA物流リート投資法人,2979.T
2989,東海道リート投資法人,2989.T
401A,霞ヶ関ホテルリート投資法人,401.T
